"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Sep 09 19:50:27 GMT 2021","Thu Sep 09 19:50:28 GMT 2021","356","","","","","","set climate temperature",""
"passed","Thu Sep 09 19:49:50 GMT 2021","Thu Sep 09 19:49:50 GMT 2021","349","","","","","","toggle off switch",""
"passed","Thu Sep 09 19:50:01 GMT 2021","Thu Sep 09 19:50:02 GMT 2021","1012","","","","","","turn off light",""
"passed","Thu Sep 09 19:49:43 GMT 2021","Thu Sep 09 19:49:50 GMT 2021","6233","","","","","","read sensor",""
"passed","Thu Sep 09 19:50:00 GMT 2021","Thu Sep 09 19:50:01 GMT 2021","583","","","","","","increase light brightness",""
"passed","Thu Sep 09 19:50:00 GMT 2021","Thu Sep 09 19:50:00 GMT 2021","459","","","","","","set light brightness",""
"passed","Thu Sep 09 19:50:28 GMT 2021","Thu Sep 09 19:50:28 GMT 2021","333","","","","","","add item",""
"passed","Thu Sep 09 19:50:01 GMT 2021","Thu Sep 09 19:50:01 GMT 2021","715","","","","","","decrease light brightness",""
"passed","Thu Sep 09 19:49:50 GMT 2021","Thu Sep 09 19:49:50 GMT 2021","394","","","","","","turn on switch",""
"failed","Thu Sep 09 19:50:07 GMT 2021","Thu Sep 09 19:50:27 GMT 2021","20606","","","","","","tracker",""
"passed","Thu Sep 09 19:49:50 GMT 2021","Thu Sep 09 19:49:51 GMT 2021","684","","","","","","toggle on switch",""
"passed","Thu Sep 09 19:49:57 GMT 2021","Thu Sep 09 19:50:00 GMT 2021","2896","","","","","","turn on light",""
"passed","Thu Sep 09 19:49:51 GMT 2021","Thu Sep 09 19:49:57 GMT 2021","5689","","","","","","turn off switch",""
"passed","Thu Sep 09 19:50:02 GMT 2021","Thu Sep 09 19:50:07 GMT 2021","4382","","","","","","triger automation",""
