"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Sep 01 21:49:44 GMT 2021","Wed Sep 01 21:49:45 GMT 2021","1018","","","","","","turn off light",""
"passed","Wed Sep 01 21:49:42 GMT 2021","Wed Sep 01 21:49:43 GMT 2021","404","","","","","","set light brightness",""
"passed","Wed Sep 01 21:49:45 GMT 2021","Wed Sep 01 21:49:46 GMT 2021","1041","","","","","","triger automation",""
"passed","Wed Sep 01 21:50:07 GMT 2021","Wed Sep 01 21:50:07 GMT 2021","332","","","","","","add item",""
"passed","Wed Sep 01 21:50:06 GMT 2021","Wed Sep 01 21:50:07 GMT 2021","347","","","","","","set climate temperature",""
"passed","Wed Sep 01 21:49:43 GMT 2021","Wed Sep 01 21:49:43 GMT 2021","636","","","","","","increase light brightness",""
"passed","Wed Sep 01 21:49:26 GMT 2021","Wed Sep 01 21:49:32 GMT 2021","5931","","","","","","read sensor",""
"passed","Wed Sep 01 21:49:33 GMT 2021","Wed Sep 01 21:49:34 GMT 2021","384","","","","","","toggle on switch",""
"failed","Wed Sep 01 21:49:46 GMT 2021","Wed Sep 01 21:50:06 GMT 2021","20606","","","","","","tracker",""
"passed","Wed Sep 01 21:49:43 GMT 2021","Wed Sep 01 21:49:44 GMT 2021","406","","","","","","decrease light brightness",""
"passed","Wed Sep 01 21:49:40 GMT 2021","Wed Sep 01 21:49:42 GMT 2021","1841","","","","","","turn on light",""
"passed","Wed Sep 01 21:49:33 GMT 2021","Wed Sep 01 21:49:33 GMT 2021","641","","","","","","toggle off switch",""
"passed","Wed Sep 01 21:49:32 GMT 2021","Wed Sep 01 21:49:33 GMT 2021","401","","","","","","turn on switch",""
"passed","Wed Sep 01 21:49:34 GMT 2021","Wed Sep 01 21:49:40 GMT 2021","6753","","","","","","turn off switch",""
