"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Sep 09 07:02:02 GMT 2021","Thu Sep 09 07:02:02 GMT 2021","336","","","","","","toggle off switch",""
"passed","Thu Sep 09 07:02:13 GMT 2021","Thu Sep 09 07:02:14 GMT 2021","921","","","","","","turn off light",""
"passed","Thu Sep 09 07:02:01 GMT 2021","Thu Sep 09 07:02:02 GMT 2021","358","","","","","","turn on switch",""
"passed","Thu Sep 09 07:02:11 GMT 2021","Thu Sep 09 07:02:12 GMT 2021","400","","","","","","set light brightness",""
"passed","Thu Sep 09 07:02:22 GMT 2021","Thu Sep 09 07:02:23 GMT 2021","784","","","","","","add item",""
"passed","Thu Sep 09 07:02:02 GMT 2021","Thu Sep 09 07:02:02 GMT 2021","333","","","","","","toggle on switch",""
"passed","Thu Sep 09 07:02:03 GMT 2021","Thu Sep 09 07:02:11 GMT 2021","7972","","","","","","turn on light",""
"passed","Thu Sep 09 07:02:12 GMT 2021","Thu Sep 09 07:02:12 GMT 2021","639","","","","","","increase light brightness",""
"passed","Thu Sep 09 07:01:57 GMT 2021","Thu Sep 09 07:02:01 GMT 2021","4293","","","","","","read sensor",""
"passed","Thu Sep 09 07:02:02 GMT 2021","Thu Sep 09 07:02:03 GMT 2021","1011","","","","","","turn off switch",""
"passed","Thu Sep 09 07:02:15 GMT 2021","Thu Sep 09 07:02:21 GMT 2021","5852","","","","","","tracker",""
"passed","Thu Sep 09 07:02:12 GMT 2021","Thu Sep 09 07:02:13 GMT 2021","392","","","","","","decrease light brightness",""
"passed","Thu Sep 09 07:02:21 GMT 2021","Thu Sep 09 07:02:22 GMT 2021","1327","","","","","","set climate temperature",""
"passed","Thu Sep 09 07:02:14 GMT 2021","Thu Sep 09 07:02:15 GMT 2021","1037","","","","","","triger automation",""
