"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Sep 03 21:50:48 GMT 2021","Fri Sep 03 21:50:49 GMT 2021","1041","","","","","","triger automation",""
"failed","Fri Sep 03 21:50:49 GMT 2021","Fri Sep 03 21:51:09 GMT 2021","20606","","","","","","tracker",""
"passed","Fri Sep 03 21:50:40 GMT 2021","Fri Sep 03 21:50:40 GMT 2021","693","","","","","","increase light brightness",""
"passed","Fri Sep 03 21:50:29 GMT 2021","Fri Sep 03 21:50:29 GMT 2021","350","","","","","","toggle off switch",""
"passed","Fri Sep 03 21:51:10 GMT 2021","Fri Sep 03 21:51:10 GMT 2021","326","","","","","","add item",""
"passed","Fri Sep 03 21:51:09 GMT 2021","Fri Sep 03 21:51:10 GMT 2021","340","","","","","","set climate temperature",""
"passed","Fri Sep 03 21:50:41 GMT 2021","Fri Sep 03 21:50:48 GMT 2021","7176","","","","","","turn off light",""
"passed","Fri Sep 03 21:50:38 GMT 2021","Fri Sep 03 21:50:39 GMT 2021","712","","","","","","turn on light",""
"passed","Fri Sep 03 21:50:24 GMT 2021","Fri Sep 03 21:50:28 GMT 2021","4415","","","","","","read sensor",""
"passed","Fri Sep 03 21:50:30 GMT 2021","Fri Sep 03 21:50:38 GMT 2021","8260","","","","","","turn off switch",""
"passed","Fri Sep 03 21:50:29 GMT 2021","Fri Sep 03 21:50:30 GMT 2021","1022","","","","","","toggle on switch",""
"passed","Fri Sep 03 21:50:28 GMT 2021","Fri Sep 03 21:50:29 GMT 2021","386","","","","","","turn on switch",""
"passed","Fri Sep 03 21:50:39 GMT 2021","Fri Sep 03 21:50:40 GMT 2021","343","","","","","","set light brightness",""
"passed","Fri Sep 03 21:50:40 GMT 2021","Fri Sep 03 21:50:41 GMT 2021","342","","","","","","decrease light brightness",""
