"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Sep 09 07:21:37 GMT 2021","Thu Sep 09 07:21:37 GMT 2021","337","","","","","","toggle on switch",""
"passed","Thu Sep 09 07:21:47 GMT 2021","Thu Sep 09 07:21:47 GMT 2021","604","","","","","","increase light brightness",""
"passed","Thu Sep 09 07:21:36 GMT 2021","Thu Sep 09 07:21:37 GMT 2021","343","","","","","","toggle off switch",""
"passed","Thu Sep 09 07:22:00 GMT 2021","Thu Sep 09 07:22:00 GMT 2021","347","","","","","","set climate temperature",""
"passed","Thu Sep 09 07:21:36 GMT 2021","Thu Sep 09 07:21:36 GMT 2021","386","","","","","","turn on switch",""
"passed","Thu Sep 09 07:21:48 GMT 2021","Thu Sep 09 07:21:48 GMT 2021","587","","","","","","turn off light",""
"passed","Thu Sep 09 07:21:49 GMT 2021","Thu Sep 09 07:22:00 GMT 2021","10697","","","","","","tracker",""
"passed","Thu Sep 09 07:22:00 GMT 2021","Thu Sep 09 07:22:01 GMT 2021","331","","","","","","add item",""
"passed","Thu Sep 09 07:21:37 GMT 2021","Thu Sep 09 07:21:38 GMT 2021","1014","","","","","","turn off switch",""
"passed","Thu Sep 09 07:21:46 GMT 2021","Thu Sep 09 07:21:47 GMT 2021","791","","","","","","set light brightness",""
"passed","Thu Sep 09 07:21:47 GMT 2021","Thu Sep 09 07:21:48 GMT 2021","427","","","","","","decrease light brightness",""
"passed","Thu Sep 09 07:21:38 GMT 2021","Thu Sep 09 07:21:46 GMT 2021","7941","","","","","","turn on light",""
"passed","Thu Sep 09 07:21:31 GMT 2021","Thu Sep 09 07:21:36 GMT 2021","4920","","","","","","read sensor",""
"passed","Thu Sep 09 07:21:48 GMT 2021","Thu Sep 09 07:21:49 GMT 2021","1034","","","","","","triger automation",""
