"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Sep 03 21:38:05 GMT 2021","Fri Sep 03 21:38:06 GMT 2021","673","","","","","","decrease light brightness",""
"passed","Fri Sep 03 21:37:47 GMT 2021","Fri Sep 03 21:37:55 GMT 2021","7643","","","","","","read sensor",""
"passed","Fri Sep 03 21:37:55 GMT 2021","Fri Sep 03 21:37:56 GMT 2021","684","","","","","","toggle on switch",""
"failed","Fri Sep 03 21:38:08 GMT 2021","Fri Sep 03 21:38:28 GMT 2021","20608","","","","","","tracker",""
"passed","Fri Sep 03 21:37:56 GMT 2021","Fri Sep 03 21:38:02 GMT 2021","6211","","","","","","turn off switch",""
"passed","Fri Sep 03 21:38:04 GMT 2021","Fri Sep 03 21:38:05 GMT 2021","1076","","","","","","set light brightness",""
"passed","Fri Sep 03 21:38:29 GMT 2021","Fri Sep 03 21:38:29 GMT 2021","339","","","","","","add item",""
"passed","Fri Sep 03 21:37:55 GMT 2021","Fri Sep 03 21:37:55 GMT 2021","408","","","","","","turn on switch",""
"passed","Fri Sep 03 21:38:28 GMT 2021","Fri Sep 03 21:38:29 GMT 2021","373","","","","","","set climate temperature",""
"passed","Fri Sep 03 21:38:02 GMT 2021","Fri Sep 03 21:38:04 GMT 2021","1355","","","","","","turn on light",""
"passed","Fri Sep 03 21:38:05 GMT 2021","Fri Sep 03 21:38:05 GMT 2021","379","","","","","","increase light brightness",""
"passed","Fri Sep 03 21:38:06 GMT 2021","Fri Sep 03 21:38:07 GMT 2021","1019","","","","","","turn off light",""
"passed","Fri Sep 03 21:38:07 GMT 2021","Fri Sep 03 21:38:08 GMT 2021","1049","","","","","","triger automation",""
"passed","Fri Sep 03 21:37:55 GMT 2021","Fri Sep 03 21:37:55 GMT 2021","368","","","","","","toggle off switch",""
