"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Sep 02 21:56:07 GMT 2021","Thu Sep 02 21:56:07 GMT 2021","397","","","","","","increase light brightness",""
"passed","Thu Sep 02 21:55:50 GMT 2021","Thu Sep 02 21:55:56 GMT 2021","5990","","","","","","read sensor",""
"failed","Thu Sep 02 21:56:09 GMT 2021","Thu Sep 02 21:56:30 GMT 2021","20606","","","","","","tracker",""
"passed","Thu Sep 02 21:56:08 GMT 2021","Thu Sep 02 21:56:08 GMT 2021","897","","","","","","turn off light",""
"passed","Thu Sep 02 21:55:56 GMT 2021","Thu Sep 02 21:55:56 GMT 2021","398","","","","","","turn on switch",""
"passed","Thu Sep 02 21:55:57 GMT 2021","Thu Sep 02 21:55:57 GMT 2021","624","","","","","","toggle on switch",""
"passed","Thu Sep 02 21:56:03 GMT 2021","Thu Sep 02 21:56:06 GMT 2021","3037","","","","","","turn on light",""
"passed","Thu Sep 02 21:56:30 GMT 2021","Thu Sep 02 21:56:31 GMT 2021","333","","","","","","add item",""
"passed","Thu Sep 02 21:56:06 GMT 2021","Thu Sep 02 21:56:07 GMT 2021","416","","","","","","set light brightness",""
"passed","Thu Sep 02 21:56:07 GMT 2021","Thu Sep 02 21:56:08 GMT 2021","361","","","","","","decrease light brightness",""
"passed","Thu Sep 02 21:55:57 GMT 2021","Thu Sep 02 21:56:03 GMT 2021","5944","","","","","","turn off switch",""
"passed","Thu Sep 02 21:56:08 GMT 2021","Thu Sep 02 21:56:09 GMT 2021","1042","","","","","","triger automation",""
"passed","Thu Sep 02 21:56:30 GMT 2021","Thu Sep 02 21:56:30 GMT 2021","347","","","","","","set climate temperature",""
"passed","Thu Sep 02 21:55:56 GMT 2021","Thu Sep 02 21:55:57 GMT 2021","398","","","","","","toggle off switch",""
