2020-09-04 06:23:27.524 | INFO     |  8907 | msm.skill_entry | Downloading skill: https://github.com/mycroftai/skill-alarm
2020-09-04 06:23:27.877 | INFO     |  8907 | msm.skill_entry | Installing system requirements...
2020-09-04 06:23:28.000 | INFO     |  8907 | msm.skill_entry | Installing requirements.txt for mycroft-configuration
2020-09-04 06:23:28.013 | INFO     |  8907 | msm.skill_entry | Installing system requirements...
2020-09-04 06:23:28.016 | INFO     |  8907 | msm.skill_entry | Installing system requirements...
2020-09-04 06:23:28.080 | INFO     |  8907 | msm.skill_entry | Installing system requirements...
2020-09-04 06:23:28.161 | INFO     |  8907 | msm.skill_entry | Installing requirements.txt for mycroft-joke
2020-09-04 06:23:28.162 | INFO     |  8907 | msm.skill_entry | Installing requirements.txt for mycroft-ip
2020-09-04 06:23:28.196 | INFO     |  8907 | msm.skill_entry | Installing requirements.txt for mycroft-audio-record
2020-09-04 06:23:28.216 | INFO     |  8907 | msm.skill_entry | Installing system requirements...
2020-09-04 06:23:28.321 | INFO     |  8907 | msm.skill_entry | Installing system requirements...
2020-09-04 06:23:28.323 | INFO     |  8907 | msm.skill_entry | Installing system requirements...
2020-09-04 06:23:28.337 | INFO     |  8907 | msm.skill_entry | Installing system requirements...
2020-09-04 06:23:28.351 | ERROR    |  8907 | msm.mycroft_skills_manager | Error running install_or_update on homeassistant.mycroftai: MergeConflict
2020-09-04 06:23:28.354 | INFO     |  8907 | msm.skill_entry | Downloading skill: https://github.com/mycroftai/skill-speak
2020-09-04 06:23:28.380 | INFO     |  8907 | msm.skill_entry | Installing requirements.txt for mycroft-installer
2020-09-04 06:23:28.404 | INFO     |  8907 | msm.skill_entry | Installing system requirements...
2020-09-04 06:23:28.421 | INFO     |  8907 | msm.skill_entry | Installing system requirements...
2020-09-04 06:23:28.445 | INFO     |  8907 | msm.skill_entry | Installing requirements.txt for mycroft-fallback-duck-duck-go
2020-09-04 06:23:28.468 | INFO     |  8907 | msm.skill_entry | Successfully installed mycroft-hello-world
2020-09-04 06:23:28.468 | INFO     |  8907 | msm.mycroft_skills_manager | invalidating skills cache
2020-09-04 06:23:28.470 | INFO     |  8907 | msm.skill_entry | Downloading skill: https://github.com/mycroftai/skill-spelling
2020-09-04 06:23:28.512 | INFO     |  8907 | msm.skill_entry | Successfully installed mycroft-personal
2020-09-04 06:23:28.514 | INFO     |  8907 | msm.mycroft_skills_manager | invalidating skills cache
2020-09-04 06:23:28.513 | INFO     |  8907 | msm.skill_entry | Successfully installed mycroft-naptime
2020-09-04 06:23:28.515 | INFO     |  8907 | msm.mycroft_skills_manager | invalidating skills cache
2020-09-04 06:23:28.522 | INFO     |  8907 | msm.skill_entry | Downloading skill: https://github.com/mycroftai/skill-stock
2020-09-04 06:23:28.528 | INFO     |  8907 | msm.skill_entry | Downloading skill: https://github.com/mycroftai/skill-stop
2020-09-04 06:23:28.537 | INFO     |  8907 | msm.skill_entry | Installing system requirements...
2020-09-04 06:23:28.582 | INFO     |  8907 | msm.skill_entry | Successfully installed mycroft-playback-control
2020-09-04 06:23:28.583 | INFO     |  8907 | msm.mycroft_skills_manager | invalidating skills cache
2020-09-04 06:23:28.588 | INFO     |  8907 | msm.skill_entry | Installing system requirements...
2020-09-04 06:23:28.597 | INFO     |  8907 | msm.skill_entry | Downloading skill: https://github.com/mycroftai/skill-support
2020-09-04 06:23:28.638 | INFO     |  8907 | msm.skill_entry | Successfully installed mycroft-reminder
2020-09-04 06:23:28.639 | INFO     |  8907 | msm.mycroft_skills_manager | invalidating skills cache
2020-09-04 06:23:28.641 | INFO     |  8907 | msm.skill_entry | Downloading skill: https://github.com/mycroftai/mycroft-timer
2020-09-04 06:23:28.643 | INFO     |  8907 | msm.skill_entry | Installing system requirements...
2020-09-04 06:23:28.674 | INFO     |  8907 | msm.skill_entry | Installing requirements.txt for mycroft-npr-news
2020-09-04 06:23:28.692 | INFO     |  8907 | msm.skill_entry | Installing system requirements...
2020-09-04 06:23:28.709 | INFO     |  8907 | msm.skill_entry | Installing system requirements...
2020-09-04 06:23:28.715 | INFO     |  8907 | msm.skill_entry | Successfully installed fallback-unknown
2020-09-04 06:23:28.716 | INFO     |  8907 | msm.mycroft_skills_manager | invalidating skills cache
2020-09-04 06:23:28.718 | INFO     |  8907 | msm.skill_entry | Downloading skill: https://github.com/mycroftai/skill-weather
2020-09-04 06:23:28.785 | INFO     |  8907 | msm.skill_entry | Installing requirements.txt for fallback-wolfram-alpha
2020-09-04 06:23:28.794 | INFO     |  8907 | msm.skill_entry | Installing requirements.txt for mycroft-date-time
2020-09-04 06:23:28.914 | INFO     |  8907 | msm.skill_entry | Nothing new for mycroft-pairing
2020-09-04 06:23:28.926 | INFO     |  8907 | msm.skill_entry | Installing system requirements...
2020-09-04 06:23:28.988 | INFO     |  8907 | msm.skill_entry | Nothing new for mycroft-volume
2020-09-04 06:23:29.012 | INFO     |  8907 | msm.skill_entry | Installing system requirements...
2020-09-04 06:23:29.047 | INFO     |  8907 | msm.skill_entry | Downloading skill: https://github.com/mycroftai/skill-version-checker
2020-09-04 06:23:29.093 | INFO     |  8907 | msm.skill_entry | Installing requirements.txt for mycroft-volume
2020-09-04 06:23:29.164 | INFO     |  8907 | msm.skill_entry | Installing system requirements...
2020-09-04 06:23:29.212 | INFO     |  8907 | msm.skill_entry | Installing requirements.txt for mycroft-alarm
2020-09-04 06:23:29.318 | INFO     |  8907 | msm.skill_entry | Installing system requirements...
2020-09-04 06:23:29.346 | INFO     |  8907 | msm.skill_entry | Installing system requirements...
2020-09-04 06:23:29.405 | INFO     |  8907 | msm.skill_entry | Successfully installed mycroft-speak
2020-09-04 06:23:29.405 | INFO     |  8907 | msm.mycroft_skills_manager | invalidating skills cache
2020-09-04 06:23:29.412 | INFO     |  8907 | msm.skill_entry | Downloading skill: https://github.com/mycroftai/skill-wiki
2020-09-04 06:23:29.435 | INFO     |  8907 | msm.skill_entry | Successfully installed mycroft-spelling
2020-09-04 06:23:29.436 | INFO     |  8907 | msm.mycroft_skills_manager | invalidating skills cache
2020-09-04 06:23:29.440 | INFO     |  8907 | msm.skill_entry | Installing system requirements...
2020-09-04 06:23:29.475 | INFO     |  8907 | msm.skill_entry | Downloading skill: https://github.com/MycroftAI/skill-query
2020-09-04 06:23:29.476 | INFO     |  8907 | msm.skill_entry | Installing system requirements...
2020-09-04 06:23:29.538 | INFO     |  8907 | msm.skill_entry | Installing requirements.txt for mycroft-stock
2020-09-04 06:23:29.572 | INFO     |  8907 | msm.skill_entry | Installing system requirements...
2020-09-04 06:23:29.577 | INFO     |  8907 | msm.skill_entry | Successfully installed mycroft-stop
