"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Sep 07 22:14:24 GMT 2021","Tue Sep 07 22:14:25 GMT 2021","534","","","","","","increase light brightness",""
"failed","Tue Sep 07 22:14:32 GMT 2021","Tue Sep 07 22:14:53 GMT 2021","20607","","","","","","tracker",""
"passed","Tue Sep 07 22:14:14 GMT 2021","Tue Sep 07 22:14:14 GMT 2021","413","","","","","","turn on switch",""
"passed","Tue Sep 07 22:14:25 GMT 2021","Tue Sep 07 22:14:26 GMT 2021","1018","","","","","","turn off light",""
"passed","Tue Sep 07 22:14:14 GMT 2021","Tue Sep 07 22:14:14 GMT 2021","345","","","","","","toggle off switch",""
"passed","Tue Sep 07 22:14:14 GMT 2021","Tue Sep 07 22:14:15 GMT 2021","682","","","","","","toggle on switch",""
"passed","Tue Sep 07 22:14:24 GMT 2021","Tue Sep 07 22:14:24 GMT 2021","506","","","","","","set light brightness",""
"passed","Tue Sep 07 22:14:15 GMT 2021","Tue Sep 07 22:14:22 GMT 2021","6711","","","","","","turn off switch",""
"passed","Tue Sep 07 22:14:25 GMT 2021","Tue Sep 07 22:14:25 GMT 2021","728","","","","","","decrease light brightness",""
"passed","Tue Sep 07 22:14:26 GMT 2021","Tue Sep 07 22:14:32 GMT 2021","6000","","","","","","triger automation",""
"passed","Tue Sep 07 22:14:53 GMT 2021","Tue Sep 07 22:14:53 GMT 2021","347","","","","","","set climate temperature",""
"passed","Tue Sep 07 22:14:53 GMT 2021","Tue Sep 07 22:14:54 GMT 2021","345","","","","","","add item",""
"passed","Tue Sep 07 22:14:08 GMT 2021","Tue Sep 07 22:14:14 GMT 2021","5282","","","","","","read sensor",""
"passed","Tue Sep 07 22:14:22 GMT 2021","Tue Sep 07 22:14:24 GMT 2021","1867","","","","","","turn on light",""
